n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,3,2,3,1,2,0.0650017261505127,"[2, 2, 1, 1, 0]","          p instantiations
0  0.141835       4=False,"
15,9,2,3,1,6,0.4159979820251465,"[8, 7, 7, 8, 7, 6, 5, 4, 3, 3, 2, 1, 0]","         p             instantiations
0  0.03889  1=False,10=True,12=True, "
25,9,2,3,1,10,0.34565067291259766,"[8, 5, 11, 7, 10, 6, 9, 10, 9, 2, 8, 7, 6, 5, 4, 3, 2, 1, 1, 0]","          p                                instantiations
0  0.000444  10=False,23=True,21=False,12=True,16=False, "
35,12,2,3,1,14,0.6412842273712158,"[3, 2, 4, 8, 3, 4, 7, 1, 2, 4, 3, 10, 2, 13, 14, 1, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","          p                                     instantiations
19  0.00001  31=True,19=False,23=False,5=True,1=True,10=Fal..."
45,13,2,3,1,18,6.71965479850769,"[4, 6, 12, 5, 3, 16, 16, 2, 17, 17, 16, 15, 16, 15, 15, 15, 17, 2, 16, 16, 15, 14, 13, 12, 2, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","                p                                     instantiations
194  3.143593e-09  39=False,17=False,36=False,15=True,31=False,32..."
