n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,4,2,3,1,2,0.09899592399597168,"[2, 2, 1, 0]","         p instantiations
0  0.10944       2=False,"
15,8,2,3,1,6,0.4277458190917969,"[5, 3, 2, 5, 1, 5, 4, 3, 3, 2, 1, 0]","         p             instantiations
1  0.01476  1=True,0=True,13=False,  "
25,10,2,3,1,10,0.8172240257263184,"[6, 3, 3, 7, 8, 11, 3, 1, 10, 9, 9, 8, 7, 6, 5, 5, 4, 3, 1, 2, 1, 0]","          p                               instantiations
1  0.000049  0=True,11=False,24=False,13=True, 21=True, "
35,13,2,3,1,14,1.1670045852661133,"[4, 1, 3, 4, 6, 7, 7, 6, 1, 6, 12, 8, 12, 11, 3, 1, 11, 1, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
3  5.231684e-07  4=True,21=True,10=True,19=True,5=True,25=True,..."
45,15,2,3,1,18,2.5210328102111816,"[3, 4, 9, 4, 12, 3, 7, 9, 4, 11, 15, 14, 8, 14, 15, 14, 14, 14, 13, 12, 11, 10, 2, 10, 9, 8, 7, 6, 5, 4, 3, 2, 2, 1, 0]","              p                                     instantiations
2  4.307601e-10  44=False,7=True,24=False,2=False,39=False,28=T..."
