n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,4,2,3,1,2,0.08500170707702637,"[2, 1, 0]","        p instantiations
0  0.5696       4=False,"
15,8,2,3,1,6,0.5960025787353516,"[4, 2, 6, 5, 4, 4, 4, 3, 2, 2, 1, 0]","          p           instantiations
5  0.006201  5=True,6=False,3=True, "
25,10,2,3,1,10,0.8229880332946777,"[8, 10, 11, 2, 10, 3, 1, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 1, 0]","          p                              instantiations
1  0.000067  1=True,24=False,8=False,14=False,0=True,  "
35,13,2,3,1,14,3.395995855331421,"[10, 4, 12, 2, 13, 7, 3, 14, 14, 16, 16, 16, 15, 2, 14, 13, 12, 11, 11, 10, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
4  5.211278e-07  2=False,5=True,24=False,13=False,34=False,32=F..."
45,15,2,3,1,18,71.01531910896301,"[4, 6, 3, 2, 2, 13, 13, 21, 21, 20, 19, 20, 19, 18, 18, 2, 17, 17, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
5  1.082221e-07  21=True,34=False,19=True,12=False,0=False,30=F..."
