n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,4,2,3,1,2,0.09100055694580078,"[2, 2, 1, 0]","         p instantiations
0  0.10368       3=False,"
15,8,2,3,1,6,0.3876645565032959,"[2, 5, 7, 6, 7, 6, 5, 4, 3, 2, 1, 0]","          p              instantiations
0  0.007161  1=False,6=False,13=False, "
25,10,2,3,1,10,0.9839999675750732,"[10, 12, 3, 12, 11, 1, 4, 11, 10, 9, 9, 8, 8, 7, 6, 5, 4, 3, 2, 1, 0]","          p                               instantiations
0  0.000014  19=False,16=False,22=True,21=True,14=True, "
35,13,2,3,1,14,1.6289634704589844,"[3, 3, 1, 3, 4, 12, 1, 11, 14, 15, 14, 14, 13, 12, 11, 10, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","           p                                     instantiations
11  0.000001  13=False,15=True,7=True,6=True,21=False,19=Tru..."
45,15,2,3,1,18,35.10204815864563,"[8, 10, 17, 20, 20, 5, 2, 1, 2, 20, 19, 18, 1, 17, 17, 17, 4, 18, 18, 17, 17, 16, 15, 14, 13, 12, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
0  1.532310e-08  2=False,36=False,42=False,30=False,0=False,21=..."
