n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,4,2,3,1,2,0.06699609756469727,"[2, 2, 1, 1, 0]","          p                          instantiations
1  0.007744  4=True,1=False,3=True,0=True,2=True,  "
15,8,2,3,1,6,0.23286151885986328,"[2, 2, 1, 2, 1, 1, 2, 2, 4, 3, 3, 2, 2, 1, 0]","          p                                     instantiations
1  0.001565  10=True,8=True,7=False,3=True,0=False,6=False,..."
25,10,2,3,1,10,0.4389960765838623,"[3, 3, 3, 1, 1, 3, 1, 3, 1, 1, 1, 4, 4, 4, 4, 5, 7, 6, 6, 5, 4, 3, 2, 1, 0]","          p                                     instantiations
0  0.000005  11=False,10=True,8=True,7=True,5=True,2=True,0..."
35,13,2,3,1,14,0.8040320873260498,"[3, 2, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 3, 3, 5, 2, 2, 2, 2, 3, 5, 5, 5, 5, 5, 6, 7, 6, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
1  1.060923e-07  20=True,17=True,14=False,7=True,5=True,4=True,..."
45,15,2,3,1,18,0.8170056343078613,"[1, 2, 2, 3, 1, 2, 3, 3, 3, 2, 2, 1, 3, 3, 1, 1, 3, 3, 2, 3, 3, 2, 3, 3, 4, 4, 6, 6, 7, 6, 9, 9, 10, 9, 9, 8, 7, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
3  1.471844e-09  26=True,18=True,15=True,14=True,4=True,3=False..."
