n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,3,2,3,1,2,0.08100080490112305,"[2, 1, 1, 1, 0]","          p                            instantiations
0  0.107541  4=False,3=True,1=True,2=True,0=False,   "
15,9,2,3,1,6,0.6319992542266846,"[1, 3, 1, 3, 1, 2, 4, 5, 5, 4, 4, 3, 2, 1, 0]","          p                                     instantiations
0  0.006982  11=False,8=True,4=True,2=True,1=False,3=True,0..."
25,9,2,3,1,10,0.40599775314331055,"[3, 3, 2, 3, 1, 2, 3, 1, 1, 1, 3, 1, 2, 3, 4, 3, 5, 5, 5, 4, 4, 3, 2, 1, 0]","          p                                     instantiations
1  0.000062  13=True,12=True,7=True,3=True,2=True,4=True,0=..."
35,12,2,3,1,14,0.5959973335266113,"[3, 2, 2, 3, 2, 2, 1, 3, 1, 1, 3, 2, 2, 1, 2, 3, 3, 3, 3, 4, 4, 6, 6, 6, 6, 6, 5, 5, 5, 4, 4, 3, 2, 1, 0]","              p                                     instantiations
0  4.773556e-07  24=True,20=True,15=True,5=True,3=True,4=True,2..."
45,13,2,3,1,18,0.8240013122558594,"[3, 1, 1, 2, 2, 2, 2, 2, 3, 3, 1, 3, 2, 3, 2, 2, 2, 4, 4, 3, 3, 3, 4, 4, 4, 5, 4, 4, 4, 5, 6, 5, 9, 9, 8, 8, 7, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
1  9.024644e-11  33=True,10=True,8=True,6=True,5=False,4=True,3..."
