n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,3,2,3,1,2,0.06300067901611328,"[2, 1, 1, 1, 0]","          p                            instantiations
0  0.107541  4=False,3=True,1=True,2=True,0=False,   "
15,9,2,3,1,6,0.37700414657592773,"[1, 3, 1, 3, 1, 2, 4, 5, 5, 4, 4, 3, 2, 1, 0]","          p                                     instantiations
3  0.000065  11=True,8=True,4=True,2=False,1=True,3=True,0=..."
25,9,2,3,1,10,0.37888216972351074,"[3, 3, 2, 3, 1, 2, 3, 1, 1, 1, 3, 1, 2, 3, 4, 3, 5, 5, 5, 4, 4, 3, 2, 1, 0]","          p                                     instantiations
0  0.000181  13=True,12=False,7=False,3=True,2=False,4=True..."
35,12,2,3,1,14,0.5356314182281494,"[3, 2, 2, 3, 2, 2, 1, 3, 1, 1, 3, 2, 2, 1, 2, 3, 3, 3, 3, 4, 4, 6, 6, 6, 6, 6, 5, 5, 5, 4, 4, 3, 2, 1, 0]","              p                                     instantiations
1  6.683639e-09  24=True,20=True,15=True,5=True,3=True,4=True,2..."
45,13,2,3,1,18,0.7690408229827881,"[3, 1, 1, 2, 2, 2, 2, 2, 3, 3, 1, 3, 2, 3, 2, 2, 2, 4, 4, 3, 3, 3, 4, 4, 4, 5, 4, 4, 4, 5, 6, 5, 9, 9, 8, 8, 7, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
0  1.491235e-10  33=True,10=True,8=True,6=True,5=False,4=True,3..."
