n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,4,2,3,1,2,0.07799887657165527,"[2, 2, 1, 1, 0]","          p                           instantiations
1  0.051322  4=True,1=True,3=False,0=True,2=False,  "
15,8,2,3,1,6,0.24051308631896973,"[2, 2, 1, 2, 1, 1, 2, 2, 4, 3, 3, 2, 2, 1, 0]","          p                                     instantiations
1  0.001163  10=True,8=True,7=True,3=True,0=True,6=False,2=..."
25,10,2,3,1,10,0.41299915313720703,"[3, 3, 3, 1, 1, 3, 1, 3, 1, 1, 1, 4, 4, 4, 4, 5, 7, 6, 6, 5, 4, 3, 2, 1, 0]","          p                                     instantiations
0  0.000002  11=True,10=True,8=False,7=True,5=True,2=True,0..."
35,13,2,3,1,14,0.5909841060638428,"[3, 2, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 3, 3, 5, 2, 2, 2, 2, 3, 5, 5, 5, 5, 5, 6, 7, 6, 6, 5, 4, 3, 2, 1, 0]","               p                                     instantiations
13  1.284330e-07  20=True,17=True,14=False,7=True,5=True,4=True,..."
45,15,2,3,1,18,0.833228349685669,"[1, 2, 2, 3, 1, 2, 3, 3, 3, 2, 2, 1, 3, 3, 1, 1, 3, 3, 2, 3, 3, 2, 3, 3, 4, 4, 6, 6, 7, 6, 9, 9, 10, 9, 9, 8, 7, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
1  7.643484e-10  26=True,18=True,15=False,14=True,4=True,3=True..."
