n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,4,2,3,1,2,0.08700418472290039,"[2, 2, 1, 1, 0]","          p                            instantiations
0  0.415238  4=False,1=True,3=False,0=True,2=False,  "
15,8,2,3,1,6,0.28496408462524414,"[2, 2, 1, 2, 1, 1, 2, 2, 4, 3, 3, 2, 2, 1, 0]","          p                                     instantiations
0  0.000702  10=True,8=False,7=False,3=True,0=True,6=False,..."
25,10,2,3,1,10,0.4192216396331787,"[3, 3, 3, 1, 1, 3, 1, 3, 1, 1, 1, 4, 4, 4, 4, 5, 7, 6, 6, 5, 4, 3, 2, 1, 0]","          p                                     instantiations
0  0.000003  11=False,10=True,8=True,7=True,5=False,2=True,..."
35,13,2,3,1,14,0.5831894874572754,"[3, 2, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 3, 3, 5, 2, 2, 2, 2, 3, 5, 5, 5, 5, 5, 6, 7, 6, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
3  3.018741e-08  20=True,17=False,14=True,7=True,5=True,4=True,..."
45,15,2,3,1,18,0.8281211853027344,"[1, 2, 2, 3, 1, 2, 3, 3, 3, 2, 2, 1, 3, 3, 1, 1, 3, 3, 2, 3, 3, 2, 3, 3, 4, 4, 6, 6, 7, 6, 9, 9, 10, 9, 9, 8, 7, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
2  2.953760e-09  26=True,18=True,15=True,14=False,4=True,3=Fals..."
