n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,4,2,3,1,2,0.08400082588195801,"[2, 2, 1, 1, 0]","          p                           instantiations
0  0.046138  4=False,1=True,3=True,0=True,2=False,  "
15,8,2,3,1,6,0.27900028228759766,"[2, 2, 1, 2, 1, 1, 2, 2, 4, 3, 3, 2, 2, 1, 0]","          p                                     instantiations
0  0.000615  10=True,8=False,7=True,3=True,0=True,6=True,2=..."
25,10,2,3,1,10,0.4109930992126465,"[3, 3, 3, 1, 1, 3, 1, 3, 1, 1, 1, 4, 4, 4, 4, 5, 7, 6, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
0  5.551478e-07  11=False,10=False,8=False,7=True,5=True,2=Fals..."
35,13,2,3,1,14,0.6628174781799316,"[3, 2, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 3, 3, 5, 2, 2, 2, 2, 3, 5, 5, 5, 5, 5, 6, 7, 6, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
4  2.445836e-08  20=False,17=False,14=False,7=True,5=False,4=Tr..."
45,15,2,3,1,18,0.8875524997711182,"[1, 2, 2, 3, 1, 2, 3, 3, 3, 2, 2, 1, 3, 3, 1, 1, 3, 3, 2, 3, 3, 2, 3, 3, 4, 4, 6, 6, 7, 6, 9, 9, 10, 9, 9, 8, 7, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
1  1.226821e-09  26=True,18=True,15=True,14=False,4=False,3=Tru..."
