n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,4,2,3,1,2,0.09499788284301758,"[2, 2, 1, 1, 0]","          p                           instantiations
1  0.051322  4=True,1=True,3=False,0=True,2=False,  "
15,8,2,3,1,6,0.2239995002746582,"[2, 2, 1, 2, 1, 1, 2, 2, 4, 3, 3, 2, 2, 1, 0]","          p                                     instantiations
1  0.005221  10=True,8=True,7=False,3=True,0=True,6=False,2..."
25,10,2,3,1,10,0.420001745223999,"[3, 3, 3, 1, 1, 3, 1, 3, 1, 1, 1, 4, 4, 4, 4, 5, 7, 6, 6, 5, 4, 3, 2, 1, 0]","          p                                     instantiations
0  0.000011  11=False,10=True,8=False,7=True,5=True,2=True,..."
35,13,2,3,1,14,0.5792694091796875,"[3, 2, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 3, 3, 5, 2, 2, 2, 2, 3, 5, 5, 5, 5, 5, 6, 7, 6, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
7  3.005568e-09  20=True,17=True,14=True,7=True,5=True,4=True,2..."
45,15,2,3,1,18,0.9879968166351318,"[1, 2, 2, 3, 1, 2, 3, 3, 3, 2, 2, 1, 3, 3, 1, 1, 3, 3, 2, 3, 3, 2, 3, 3, 4, 4, 6, 6, 7, 6, 9, 9, 10, 9, 9, 8, 7, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
0  1.592509e-11  26=True,18=True,15=False,14=True,4=False,3=Tru..."
