n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,4,2,3,1,2,0.09600305557250977,"[2, 1, 1, 0]","        p instantiations
0  0.0608       2=False,"
15,8,2,3,1,6,0.5199995040893555,"[3, 3, 2, 2, 2, 2, 2, 1, 0]","          p            instantiations
1  0.004067  0=True,2=True,1=True,   "
25,10,2,3,1,10,0.8247723579406738,"[1, 3, 3, 3, 4, 4, 2, 4, 4, 4, 5, 5, 4, 5, 5, 4, 3, 2, 1, 0]","          p                               instantiations
1  0.000009  9=True,0=False,11=False,8=False,24=False,  "
35,13,2,3,1,14,1.0384647846221924,"[2, 1, 3, 1, 1, 3, 3, 2, 2, 3, 3, 4, 5, 5, 6, 6, 6, 8, 8, 8, 7, 7, 6, 5, 1, 4, 3, 2, 1, 0]","              p                                     instantiations
0  5.587086e-07  17=False,21=False,5=False,0=False,10=False,27=..."
45,15,2,3,1,18,1.6036405563354492,"[3, 1, 3, 1, 1, 3, 2, 2, 3, 3, 3, 3, 4, 5, 6, 7, 8, 8, 9, 8, 12, 12, 11, 11, 10, 9, 8, 1, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
2  4.091039e-08  21=False,9=True,14=False,16=True,37=False,20=F..."
