n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,result
5,4,2,3,1,2,3.0112311840057373,"      4         p instantiations
0  True  0.132038               "
15,7,2,3,1,6,4.010148763656616,"     13         p instantiations
0  True  0.029128               "
25,11,2,3,1,10,5.945772171020508,"     16         p instantiations
0  True  0.000016               "
35,16,2,3,1,14,9.14692497253418,"     26             p instantiations
0  True  1.538537e-07               "
45,14,2,3,1,18,13.161566734313965,"     26             p instantiations
0  True  2.204288e-10               "
