n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,4,2,3,1,2,0.12400054931640625,"[1, 2, 1, 0]","         p instantiations
0  0.10944       2=False,"
15,8,2,3,1,6,0.3689992427825928,"[1, 1, 2, 2, 3, 3, 3, 3, 3, 2, 1, 0]","         p             instantiations
1  0.01476  0=True,13=False,1=True,  "
25,10,2,3,1,10,0.5610008239746094,"[1, 1, 2, 3, 3, 3, 3, 4, 4, 5, 5, 6, 6, 6, 5, 4, 4, 1, 3, 2, 1, 0]","          p                               instantiations
0  0.000049  11=False,0=True,13=True,24=False,21=True,  "
35,13,2,3,1,14,1.0000030994415283,"[1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 4, 5, 6, 6, 6, 7, 8, 8, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","               p                                     instantiations
15  5.231684e-07  4=True,5=True,19=True,21=True,10=True,16=True,..."
45,15,2,3,1,18,1.3860013484954834,"[2, 2, 2, 2, 2, 2, 3, 3, 4, 4, 4, 4, 6, 6, 7, 7, 7, 10, 11, 12, 13, 12, 11, 10, 9, 8, 1, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
1  4.307601e-10  18=False,7=True,2=False,24=False,42=False,26=T..."
