n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,4,2,3,1,2,0.09399795532226562,"[1, 2, 2, 1, 0]","          p                           instantiations
3  0.051322  4=True,1=True,0=True,2=False, 3=False, "
15,8,2,3,1,6,0.5559999942779541,"[1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 4, 3, 2, 1, 0]","          p                                     instantiations
0  0.001835  7=False,6=False,3=True,2=True,0=True,10=True,8..."
25,10,2,3,1,10,0.4460325241088867,"[1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 6, 7, 6, 5, 4, 3, 2, 1, 0]","          p                                     instantiations
0  0.000001  11=True,10=True,8=True,7=True,5=True,2=True,1=..."
35,13,2,3,1,14,0.9059970378875732,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
2  2.953529e-07  20=False,17=False,12=True,7=True,4=True,2=True..."
45,15,2,3,1,18,1.3123188018798828,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 6, 6, 6, 7, 7, 9, 9, 9, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
4  2.519323e-12  18=False,15=False,10=True,9=True,7=True,6=True..."
