n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,4,2,3,1,2,0.0780649185180664,"[1, 2, 2, 1, 0]","          p                          instantiations
1  0.007744  4=True,1=False,0=True,2=True, 3=True, "
15,8,2,3,1,6,0.2520003318786621,"[1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 4, 3, 2, 1, 0]","          p                                     instantiations
0  0.001565  7=False,6=False,3=True,2=True,0=False,10=True,..."
25,10,2,3,1,10,0.42200183868408203,"[1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 6, 7, 6, 5, 4, 3, 2, 1, 0]","          p                                     instantiations
0  0.000005  11=False,10=True,8=True,7=True,5=True,2=True,1..."
35,13,2,3,1,14,0.5470454692840576,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
0  1.060923e-07  20=True,17=True,12=True,7=True,4=True,2=False,..."
45,15,2,3,1,18,0.9658994674682617,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 6, 6, 6, 7, 7, 9, 9, 9, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
0  1.471844e-09  18=True,15=True,10=True,9=False,7=True,6=True,..."
