n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,4,2,3,1,2,0.09600281715393066,"[1, 2, 2, 1, 0]","          p                            instantiations
0  0.415238  4=False,1=True,0=True,2=False, 3=False, "
15,8,2,3,1,6,0.4200000762939453,"[1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 4, 3, 2, 1, 0]","          p                                     instantiations
0  0.000702  7=False,6=False,3=True,2=True,0=True,10=True,8..."
25,10,2,3,1,10,0.43201160430908203,"[1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 6, 7, 6, 5, 4, 3, 2, 1, 0]","          p                                     instantiations
0  0.000003  11=False,10=True,8=True,7=True,5=False,2=True,..."
35,13,2,3,1,14,0.580007791519165,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
1  3.018741e-08  20=True,17=False,12=True,7=True,4=True,2=False..."
45,15,2,3,1,18,0.8060417175292969,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 6, 6, 6, 7, 7, 9, 9, 9, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
0  2.953760e-09  18=True,15=True,10=True,9=False,7=True,6=True,..."
