n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,3,2,3,1,2,0.06891751289367676,"[1, 1, 2, 1, 0]","          p                            instantiations
3  0.107541  2=True,1=True,0=False, 3=True,4=False,  "
15,9,2,3,1,6,0.22321105003356934,"[1, 1, 1, 2, 3, 3, 4, 4, 5, 5, 4, 3, 2, 1, 0]","          p                                     instantiations
0  0.000065  8=True,6=True,4=True,3=True,2=False,0=False,1=..."
25,9,2,3,1,10,0.3749961853027344,"[1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 4, 5, 5, 5, 4, 3, 2, 1, 0]","          p                                     instantiations
0  0.000181  13=True,12=False,4=True,3=True,2=False,0=True,..."
35,12,2,3,1,14,0.5312674045562744,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
0  6.683639e-09  15=True,11=True,10=True,6=False,5=True,2=True,..."
45,13,2,3,1,18,0.9591405391693115,"[1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 6, 7, 8, 9, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
0  1.491235e-10  15=False,10=True,9=False,8=True,7=True,6=True,..."
