n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,3,2,3,1,2,0.08095812797546387,"[1, 1, 2, 1, 0]","          p                            instantiations
3  0.107541  2=True,1=True,0=False, 3=True,4=False,  "
15,9,2,3,1,6,0.23299908638000488,"[1, 1, 1, 2, 3, 3, 4, 4, 5, 5, 4, 3, 2, 1, 0]","          p                                     instantiations
0  0.006982  8=True,6=True,4=True,3=True,2=True,0=True,1=Fa..."
25,9,2,3,1,10,0.6099948883056641,"[1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 4, 5, 5, 5, 4, 3, 2, 1, 0]","          p                                     instantiations
1  0.000062  13=True,12=True,4=True,3=True,2=True,0=False,6..."
35,12,2,3,1,14,0.5994105339050293,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
1  4.773556e-07  15=True,11=True,10=False,6=False,5=True,2=True..."
45,13,2,3,1,18,0.7942242622375488,"[1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 6, 7, 8, 9, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
7  9.024644e-11  15=True,10=True,9=True,8=True,7=True,6=True,5=..."
