n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,4,2,3,1,2,0.08500123023986816,"[4, 3, 2, 1, 0]","          p                           instantiations
1  0.051322  0=True,4=True,2=False,3=False,1=True,  "
15,8,2,3,1,6,0.2540006637573242,"[1, 1, 5, 1, 6, 7, 6, 6, 5, 4, 3, 3, 2, 1, 0]","          p                                     instantiations
2  0.001163  13=False,0=True,9=True,10=True,4=True,14=False..."
25,10,2,3,1,10,0.6890041828155518,"[5, 3, 3, 7, 1, 4, 11, 13, 12, 12, 11, 12, 11, 10, 9, 8, 7, 6, 5, 4, 1, 3, 2, 1, 0]","          p                                     instantiations
0  0.000002  16=False,6=True,9=True,23=False,17=False,8=Fal..."
35,13,2,3,1,14,3.906970739364624,"[7, 4, 5, 8, 7, 2, 15, 3, 14, 3, 14, 13, 14, 4, 16, 15, 2, 15, 14, 13, 12, 1, 11, 10, 9, 8, 1, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
1  1.284330e-07  7=True,3=True,14=False,13=False,26=True,16=Fal..."
45,15,2,3,1,18,63.009716510772705,"[3, 3, 4, 7, 3, 7, 3, 4, 1, 9, 2, 3, 3, 4, 3, 12, 19, 20, 19, 18, 1, 17, 1, 18, 18, 1, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
1  7.643484e-10  10=True,28=True,13=False,4=True,41=True,26=Tru..."
