n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,4,2,3,1,2,0.1609973907470703,"[1, 3, 2, 1, 0]","          p                           instantiations
2  0.062656  4=False,2=True,1=False,0=True, 3=True, "
15,8,2,3,1,6,0.21995830535888672,"[2, 6, 6, 5, 2, 3, 5, 4, 1, 5, 4, 3, 2, 1, 0]","          p                                     instantiations
3  0.001538  10=False,12=True,4=True,3=False,14=True,7=True..."
25,10,2,3,1,10,0.7004806995391846,"[5, 5, 9, 8, 1, 1, 11, 3, 10, 10, 9, 8, 2, 7, 8, 7, 6, 6, 5, 5, 4, 3, 2, 1, 0]","           p                                     instantiations
46  0.000004  9=False,17=True,23=True,24=False,4=True,1=True..."
35,13,2,3,1,14,3.937206983566284,"[3, 7, 14, 13, 7, 6, 3, 1, 7, 2, 16, 15, 14, 7, 6, 13, 12, 2, 1, 12, 11, 11, 10, 10, 9, 8, 7, 6, 1, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
0  3.626928e-08  13=True,0=False,20=True,32=True,2=False,14=Tru..."
45,15,2,3,1,18,367.85173511505127,"[4, 9, 1, 4, 15, 16, 18, 3, 22, 21, 22, 21, 2, 20, 21, 22, 22, 2, 22, 21, 20, 19, 18, 18, 18, 18, 17, 16, 15, 14, 13, 12, 11, 10, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","               p                                     instantiations
11  1.081376e-11  8=True,3=True,10=True,21=False,36=True,11=True..."
