n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,4,2,3,1,2,0.07199954986572266,"[3, 2, 1, 1, 0]","          p                          instantiations
0  0.007744  1=False,3=True,4=True,2=True,0=True,  "
15,8,2,3,1,6,0.304736852645874,"[4, 7, 1, 8, 3, 8, 7, 6, 6, 5, 4, 3, 2, 1, 0]","           p                                     instantiations
10  0.001565  14=False,11=True,5=True,4=False,7=False,13=Tru..."
25,10,2,3,1,10,0.580998420715332,"[3, 2, 3, 4, 8, 1, 1, 9, 7, 12, 13, 12, 11, 10, 9, 1, 8, 7, 6, 5, 4, 3, 2, 1, 0]","          p                                     instantiations
0  0.000005  12=False,1=True,18=False,9=True,17=True,14=Tru..."
35,13,2,3,1,14,2.8910000324249268,"[1, 6, 7, 5, 5, 2, 3, 2, 1, 4, 14, 7, 15, 14, 14, 3, 13, 13, 13, 12, 11, 10, 9, 10, 9, 8, 7, 6, 5, 1, 4, 3, 2, 1, 0]","              p                                     instantiations
0  1.060923e-07  16=False,3=False,25=True,20=True,13=True,5=Tru..."
45,15,2,3,1,18,123.90852952003479,"[9, 3, 3, 7, 7, 3, 11, 1, 12, 3, 2, 4, 12, 18, 18, 1, 17, 4, 16, 20, 22, 21, 20, 19, 18, 17, 2, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
2  1.471844e-09  2=False,12=True,37=True,31=False,16=True,42=Tr..."
