n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,4,2,3,1,2,0.1309983730316162,"[1, 2, 2, 1, 0]","          p                           instantiations
0  0.062656  4=False,1=False,0=True,2=True, 3=True, "
15,8,2,3,1,6,0.41199636459350586,"[1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 4, 3, 2, 1, 0]","          p                                     instantiations
0  0.002258  7=True,6=False,3=True,2=True,0=True,10=True,8=..."
25,10,2,3,1,10,0.5126004219055176,"[1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 6, 7, 6, 5, 4, 3, 2, 1, 0]","          p                                     instantiations
0  0.000011  11=False,10=True,8=True,7=True,5=False,2=True,..."
35,13,2,3,1,14,0.5823478698730469,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
3  2.032521e-08  20=True,17=True,12=True,7=True,4=True,2=True,1..."
45,15,2,3,1,18,0.83500075340271,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 6, 6, 6, 7, 7, 9, 9, 9, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
6  3.816615e-09  18=True,15=True,10=False,9=True,7=True,6=True,..."
