n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,4,2,3,1,2,0.07894468307495117,"[1, 2, 2, 1, 0]","          p                           instantiations
0  0.046138  4=False,1=True,0=True,2=False, 3=True, "
15,8,2,3,1,6,0.2810051441192627,"[1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 4, 3, 2, 1, 0]","          p                                     instantiations
0  0.000615  7=True,6=True,3=True,2=True,0=True,10=True,8=F..."
25,10,2,3,1,10,0.4050014019012451,"[1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 6, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
0  5.551478e-07  11=False,10=False,8=False,7=True,5=True,2=Fals..."
35,13,2,3,1,14,0.6920022964477539,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
4  2.445836e-08  20=False,17=False,12=True,7=True,4=True,2=True..."
45,15,2,3,1,18,0.8040039539337158,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 6, 6, 6, 7, 7, 9, 9, 9, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
6  1.226821e-09  18=True,15=True,10=False,9=True,7=True,6=True,..."
