n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,4,2,3,1,2,0.0899960994720459,"[1, 2, 2, 1, 0]","          p                           instantiations
1  0.051322  4=True,1=True,0=True,2=False, 3=False, "
15,8,2,3,1,6,0.3389875888824463,"[1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 4, 3, 2, 1, 0]","          p                                     instantiations
0  0.005221  7=False,6=False,3=True,2=True,0=True,10=True,8..."
25,10,2,3,1,10,0.4259970188140869,"[1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 6, 7, 6, 5, 4, 3, 2, 1, 0]","          p                                     instantiations
0  0.000011  11=False,10=True,8=False,7=True,5=True,2=True,..."
35,13,2,3,1,14,1.1270036697387695,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 5, 4, 3, 2, 1, 0]","               p                                     instantiations
15  3.005568e-09  20=True,17=True,12=True,7=True,4=True,2=True,1..."
45,15,2,3,1,18,0.778038501739502,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 6, 6, 6, 7, 7, 9, 9, 9, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
0  1.592509e-11  18=True,15=False,10=True,9=True,7=True,6=True,..."
