n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,4,2,3,1,2,0.149000883102417,"[1, 2, 2, 1, 0]","          p                           instantiations
0  0.062656  4=False,1=False,0=True,2=True, 3=True, "
15,8,2,3,1,6,0.29047441482543945,"[1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 4, 3, 2, 1, 0]","          p                                     instantiations
0  0.001538  7=True,6=False,3=False,2=True,0=False,10=False..."
25,10,2,3,1,10,0.48802733421325684,"[1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 6, 7, 6, 5, 4, 3, 2, 1, 0]","          p                                     instantiations
0  0.000004  11=False,10=True,8=True,7=True,5=True,2=True,1..."
35,13,2,3,1,14,0.9440000057220459,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
2  3.626928e-08  20=True,17=False,12=True,7=True,4=True,2=False..."
45,15,2,3,1,18,0.8839907646179199,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 6, 6, 6, 7, 7, 9, 9, 9, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
2  1.081376e-11  18=False,15=True,10=True,9=True,7=True,6=True,..."
