n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,4,2,3,1,2,0.12002205848693848,"[2, 2, 1, 0]","          p instantiations
0  0.064944       2=False,"
15,8,2,3,1,6,0.6490015983581543,"[2, 2, 1, 1, 3, 3, 1, 3, 2, 1, 0]","          p           instantiations
1  0.009564  2=True,6=False,8=True, "
25,10,2,3,1,10,0.8230020999908447,"[1, 3, 1, 3, 3, 4, 4, 5, 6, 6, 6, 5, 4, 4, 1, 3, 2, 1, 0]","          p                                instantiations
0  0.000018  4=False,9=False,16=False,20=False,24=False, "
35,13,2,3,1,14,1.3500027656555176,"[2, 1, 1, 1, 1, 3, 2, 2, 4, 3, 4, 5, 5, 6, 7, 6, 5, 6, 9, 9, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","          p                                     instantiations
4  0.000007  17=False,9=False,10=False,28=False,18=False,34..."
45,15,2,3,1,18,1.6910009384155273,"[3, 3, 1, 1, 2, 1, 2, 2, 3, 2, 3, 4, 4, 4, 5, 6, 5, 5, 6, 8, 10, 11, 10, 11, 11, 10, 9, 9, 9, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","               p                                     instantiations
70  4.617662e-10  18=False,21=False,5=True,37=False,39=False,44=..."
