n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,4,2,3,1,2,0.09395599365234375,"[2, 1, 1, 0]","         p instantiations
0  0.10944       2=False,"
15,8,2,3,1,6,0.278001070022583,"[2, 1, 1, 3, 3, 1, 2, 2, 1, 1, 0]","          p            instantiations
1  0.019052  2=True,11=True,1=True,  "
25,10,2,3,1,10,0.7069976329803467,"[1, 3, 1, 3, 1, 3, 1, 5, 4, 5, 5, 6, 6, 6, 5, 5, 4, 3, 2, 1, 0]","         p                               instantiations
0  0.00021  3=False,19=False,8=False,16=False,14=False,"
35,13,2,3,1,14,1.012894868850708,"[2, 1, 2, 3, 1, 2, 3, 4, 5, 5, 4, 4, 6, 5, 6, 8, 8, 7, 6, 6, 1, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
7  6.730912e-07  5=True,8=True,22=True,13=False,29=True,10=Fals..."
45,15,2,3,1,18,1.8090181350708008,"[2, 3, 1, 2, 3, 3, 3, 2, 4, 3, 3, 4, 4, 4, 4, 6, 7, 7, 7, 9, 11, 10, 12, 11, 10, 10, 9, 9, 8, 8, 9, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
5  2.623922e-07  2=True,31=True,25=False,42=False,44=False,30=T..."
