n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,4,2,3,1,2,0.1620008945465088,"[2, 1, 1, 0]","         p instantiations
0  0.10944       2=False,"
15,8,2,3,1,6,0.2969973087310791,"[2, 2, 1, 1, 3, 3, 3, 3, 3, 2, 1, 0]","         p             instantiations
1  0.01476  0=True,13=False,1=True,  "
25,10,2,3,1,10,0.7456867694854736,"[1, 3, 3, 3, 3, 1, 4, 2, 4, 5, 5, 6, 6, 5, 4, 4, 4, 3, 1, 2, 1, 0]","          p                               instantiations
0  0.000049  11=False,0=True,24=False,13=True,21=True,  "
35,13,2,3,1,14,1.0729990005493164,"[3, 1, 1, 1, 3, 1, 3, 3, 3, 3, 3, 4, 6, 5, 6, 8, 6, 8, 7, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","               p                                     instantiations
15  5.231684e-07  4=True,5=True,19=True,21=True,10=True,25=True,..."
45,15,2,3,1,18,1.4002430438995361,"[2, 2, 3, 2, 2, 3, 2, 2, 4, 4, 4, 4, 6, 6, 7, 7, 7, 11, 11, 10, 11, 10, 9, 9, 9, 8, 7, 6, 1, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
1  4.307601e-10  18=False,7=True,2=False,24=False,42=False,28=T..."
