n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,4,2,3,1,2,0.08199691772460938,"[2, 1, 0]","        p instantiations
0  0.5696       4=False,"
15,8,2,3,1,6,0.4510018825531006,"[2, 2, 2, 2, 2, 3, 4, 3, 2, 1, 1, 0]","          p           instantiations
1  0.006201  3=True,6=False,5=True, "
25,10,2,3,1,10,0.8200027942657471,"[3, 3, 1, 3, 2, 4, 4, 4, 5, 7, 6, 6, 5, 4, 3, 1, 2, 1, 0]","          p                              instantiations
1  0.000067  1=True,0=True,8=False,14=False, 24=False, "
35,13,2,3,1,14,1.2099971771240234,"[2, 2, 2, 1, 3, 2, 2, 2, 2, 3, 4, 6, 4, 5, 6, 7, 7, 7, 6, 8, 9, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
0  5.211278e-07  2=False,0=False,5=True,13=False,32=False,34=Fa..."
45,15,2,3,1,18,1.750486135482788,"[3, 2, 2, 3, 2, 2, 2, 2, 2, 3, 4, 5, 5, 5, 6, 6, 8, 8, 9, 11, 10, 12, 11, 10, 10, 9, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","               p                                     instantiations
36  1.082221e-07  12=False,21=True,22=False,34=False,19=True,24=..."
