n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,3,2,3,1,2,0.04099702835083008,"[2, 1, 1, 0]","         p instantiations
1  0.17033       1=True, "
15,9,2,3,1,6,0.2239978313446045,"[7, 8, 8, 7, 7, 6, 5, 4, 3, 3, 2, 1, 0]","          p           instantiations
3  0.000198  9=True,10=True,7=False,"
25,9,2,3,1,10,0.3568582534790039,"[5, 1, 7, 3, 4, 7, 9, 9, 12, 11, 10, 9, 8, 8, 7, 6, 5, 4, 3, 2, 1, 0]","           p                            instantiations
13  0.000943  23=True,15=True,7=False,2=False,21=True,"
35,12,2,3,1,14,0.8483097553253174,"[5, 3, 3, 7, 6, 2, 2, 13, 4, 15, 14, 14, 4, 13, 2, 3, 1, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
6  1.903855e-07  26=False,7=True,5=True,2=True,17=False,21=Fals..."
45,13,2,3,1,18,8.454208374023438,"[5, 3, 11, 11, 2, 10, 13, 5, 15, 10, 2, 15, 15, 12, 11, 1, 14, 19, 18, 18, 17, 16, 2, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","               p                                     instantiations
28  6.789796e-09  39=False,27=False,29=True,14=True,4=True,44=Fa..."
