n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,4,2,3,1,2,0.08499789237976074,"[2, 2, 1, 0]","         p instantiations
1  0.02112       0=True, "
15,8,2,3,1,6,0.48859190940856934,"[2, 5, 1, 3, 5, 2, 4, 4, 3, 2, 1, 0]","          p             instantiations
1  0.008272  0=True,12=False,1=True,  "
25,10,2,3,1,10,0.6259570121765137,"[6, 5, 4, 6, 3, 1, 4, 8, 1, 7, 6, 5, 4, 3, 2, 1, 0]","         p                                instantiations
3  0.00013  21=True,10=True,16=False,14=True,11=False,  "
35,13,2,3,1,14,1.4577252864837646,"[3, 7, 3, 6, 5, 7, 1, 8, 7, 14, 1, 13, 13, 12, 7, 12, 11, 10, 9, 8, 8, 7, 6, 5, 4, 3, 2, 1, 1, 0]","          p                                     instantiations
1  0.000002  11=True,1=False,22=True,9=False,31=False,29=Fa..."
45,15,2,3,1,18,35.514764070510864,"[8, 7, 12, 2, 3, 1, 2, 1, 17, 3, 18, 4, 20, 20, 19, 19, 18, 17, 16, 16, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","               p                                     instantiations
28  5.111682e-08  5=False,28=True,37=True,32=False,24=True,19=Tr..."
