n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,4,2,3,1,2,0.11099743843078613,"[3, 2, 1, 0]","          p instantiations
0  0.064944       2=False,"
15,8,2,3,1,6,0.4649999141693115,"[2, 1, 4, 5, 1, 3, 4, 3, 2, 1, 0]","          p           instantiations
1  0.009564  2=True,6=False,8=True, "
25,10,2,3,1,10,1.576016902923584,"[4, 7, 11, 12, 11, 10, 10, 9, 8, 7, 6, 6, 5, 4, 4, 3, 2, 1, 0]","          p                                instantiations
0  0.000018  4=False,20=False,24=False,9=False,16=False, "
35,13,2,3,1,14,2.242002487182617,"[5, 4, 4, 11, 14, 13, 2, 1, 1, 14, 6, 6, 1, 15, 14, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","          p                                     instantiations
4  0.000007  9=False,18=False,28=False,17=False,10=False,34..."
45,15,2,3,1,18,113.76472043991089,"[2, 6, 5, 11, 13, 6, 6, 20, 20, 2, 4, 5, 4, 22, 21, 21, 20, 19, 18, 17, 16, 15, 14, 13, 13, 12, 11, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","                p                                     instantiations
70   4.617662e-10  38=False,18=False,37=False,39=False,5=True,44=...
102  4.617662e-10  38=True,18=False,37=False,39=False,5=True,44=F..."
