n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,4,2,3,1,2,0.0789947509765625,"[3, 2, 1, 1, 0]","          p                           instantiations
0  0.051322  1=True,3=False,4=True,2=False,0=True,  "
15,8,2,3,1,6,0.24700045585632324,"[2, 4, 2, 6, 5, 2, 5, 5, 4, 1, 4, 3, 2, 1, 0]","          p                                     instantiations
7  0.005221  5=True,4=True,8=True,7=False,3=True,11=True,2=..."
25,10,2,3,1,10,0.5590016841888428,"[3, 4, 5, 1, 3, 9, 12, 1, 12, 1, 11, 10, 9, 8, 8, 7, 6, 5, 1, 5, 4, 3, 2, 1, 0]","          p                                     instantiations
1  0.000011  1=True,3=False,21=True,20=True,14=True,0=True,..."
35,13,2,3,1,14,2.6708459854125977,"[2, 1, 3, 2, 10, 3, 2, 1, 7, 3, 4, 12, 16, 15, 14, 15, 14, 15, 14, 14, 13, 1, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
2  3.005568e-09  7=True,34=True,16=False,2=True,0=True,19=True,..."
45,15,2,3,1,18,408.7273232936859,"[2, 5, 10, 11, 12, 3, 2, 17, 2, 22, 4, 22, 22, 4, 23, 22, 22, 21, 20, 20, 19, 1, 18, 17, 16, 16, 4, 15, 14, 13, 13, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
3  1.592509e-11  44=True,16=True,38=True,4=False,25=True,19=Tru..."
