n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,3,2,3,1,2,0.08200669288635254,"[2, 2, 1, 1, 0]","          p                            instantiations
1  0.107541  1=True,4=False,3=True, 0=False,2=True,  "
15,9,2,3,1,6,0.3800058364868164,"[7, 1, 5, 7, 1, 6, 3, 1, 6, 5, 4, 3, 2, 1, 0]","          p                                     instantiations
0  0.006982  6=True,0=True,12=True,11=False,9=True,8=True,4..."
25,9,2,3,1,10,0.6019589900970459,"[5, 4, 4, 5, 9, 8, 12, 1, 11, 3, 10, 11, 10, 10, 9, 8, 7, 6, 1, 5, 4, 3, 2, 1, 0]","          p                                     instantiations
0  0.000062  18=True,1=True,10=False,14=True,4=True,5=False..."
35,12,2,3,1,14,5.884046316146851,"[8, 9, 15, 2, 10, 15, 2, 2, 1, 15, 18, 1, 17, 16, 15, 14, 2, 13, 12, 11, 10, 11, 2, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 1, 0]","              p                                     instantiations
1  4.773556e-07  27=True,30=True,18=False,7=True,22=True,23=Fal..."
45,13,2,3,1,18,147.47425603866577,"[1, 11, 2, 14, 3, 5, 11, 17, 19, 18, 17, 13, 3, 19, 2, 19, 19, 22, 21, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 2, 2, 8, 7, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
3  9.024644e-11  12=True,7=True,25=False,4=True,28=False,17=Fal..."
