n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,3,2,3,1,2,0.06401300430297852,"[2, 2, 1, 1, 0]","          p                            instantiations
0  0.107541  0=False,1=True,4=False,3=True, 2=True,  "
15,9,2,3,1,6,0.2670013904571533,"[7, 1, 8, 5, 8, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","          p                                     instantiations
1  0.000065  10=True,8=True,0=False,11=True,9=True,14=True,..."
25,9,2,3,1,10,1.0319573879241943,"[7, 1, 8, 9, 1, 13, 12, 11, 14, 13, 12, 1, 11, 10, 9, 8, 7, 6, 5, 5, 4, 3, 2, 1, 0]","           p                                     instantiations
27  0.000181  23=True,8=True,2=False,15=True,3=True,10=False..."
35,12,2,3,1,14,1.015942096710205,"[10, 3, 1, 3, 4, 2, 5, 5, 8, 2, 1, 9, 7, 12, 6, 5, 4, 2, 13, 2, 12, 11, 4, 10, 9, 8, 7, 6, 5, 4, 4, 3, 2, 1, 0]","              p                                     instantiations
7  6.683639e-09  11=True,34=True,2=True,5=True,6=False,18=False..."
45,13,2,3,1,18,550.0034201145172,"[4, 11, 6, 2, 2, 6, 10, 12, 16, 19, 23, 22, 22, 2, 1, 22, 23, 22, 21, 20, 21, 20, 19, 18, 19, 18, 17, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","               p                                     instantiations
30  1.491235e-10  42=True,44=False,23=True,30=True,34=True,1=Tru..."
