n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,4,2,3,1,2,0.10103678703308105,"[2, 1, 1, 0]","         p instantiations
0  0.10368       3=False,"
15,8,2,3,1,6,0.5969998836517334,"[1, 2, 2, 2, 3, 4, 4, 4, 4, 3, 3, 2, 1, 0]","          p              instantiations
4  0.027525  13=False,14=False,11=True,"
25,10,2,3,1,10,0.8070001602172852,"[1, 1, 2, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 4, 3, 2, 1, 0]","           p                             instantiations
10  0.000165  9=True,19=False,8=False,21=True,24=False,"
35,13,2,3,1,14,1.0256953239440918,"[1, 1, 1, 1, 2, 2, 3, 3, 3, 3, 4, 4, 5, 5, 5, 5, 7, 7, 7, 7, 7, 6, 5, 4, 3, 2, 1, 0]","                p                                     instantiations
103  1.806825e-07  4=True,19=True,17=True,11=True,26=False,30=Fal..."
45,15,2,3,1,18,1.74843168258667,"[1, 1, 1, 1, 2, 2, 3, 3, 3, 3, 4, 5, 5, 5, 6, 7, 7, 8, 9, 9, 10, 11, 11, 12, 11, 10, 9, 9, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
1  1.542172e-09  1=True,4=False,13=False,33=False,29=True,43=Tr..."
