n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,3,2,3,1,2,0.054590702056884766,"[1, 2, 1, 0]","         p instantiations
1  0.17033       1=True, "
15,9,2,3,1,6,0.1870126724243164,"[2, 3, 4, 5, 5, 4, 4, 4, 3, 3, 2, 1, 0]","          p           instantiations
3  0.000198  7=False,9=True,10=True,"
25,9,2,3,1,10,0.2960011959075928,"[1, 1, 2, 2, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 6, 5, 4, 3, 2, 1, 0]","           p                            instantiations
13  0.000943  2=False,7=False,15=True,21=True,23=True,"
35,12,2,3,1,14,0.5820116996765137,"[1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 6, 6, 8, 7, 7, 7, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
3  1.903855e-07  5=True,2=True,7=True,12=True,17=False,21=False..."
45,13,2,3,1,18,0.8648777008056641,"[1, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 7, 10, 10, 11, 11, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
1  6.789796e-09  4=True,1=True,27=False,29=True,39=False,44=Fal..."
