n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,4,2,3,1,2,0.09732532501220703,"[1, 2, 1, 0]","         p instantiations
0  0.10944       2=False,"
15,8,2,3,1,6,0.371997594833374,"[1, 1, 1, 2, 3, 3, 2, 2, 1, 1, 0]","          p            instantiations
1  0.019052  2=True,1=True, 11=True, "
25,10,2,3,1,10,0.6790003776550293,"[1, 1, 1, 1, 3, 3, 3, 4, 5, 5, 5, 6, 6, 6, 5, 5, 4, 3, 2, 1, 0]","         p                               instantiations
0  0.00021  19=False,3=False,8=False,14=False,16=False,"
35,13,2,3,1,14,0.9159290790557861,"[1, 1, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 8, 8, 7, 6, 6, 1, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
3  6.730912e-07  5=True,8=True,10=False,22=True,13=False,29=Tru..."
45,15,2,3,1,18,1.9988210201263428,"[1, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 6, 7, 7, 7, 8, 9, 11, 12, 11, 12, 11, 10, 9, 8, 8, 9, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","               p                                     instantiations
10  2.623922e-07  2=True,31=True,42=False,25=False,40=False,32=F..."
