n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,3,2,3,1,2,0.08000493049621582,"[2, 1, 1, 1, 0]","          p instantiations
0  0.141835       4=False,"
15,9,2,3,1,6,0.22400140762329102,"[3, 3, 4, 5, 6, 5, 5, 4, 3, 3, 2, 1, 0]","         p             instantiations
0  0.03889  1=False,12=True,10=True, "
25,9,2,3,1,10,0.4739995002746582,"[2, 3, 3, 3, 4, 5, 5, 6, 6, 6, 6, 5, 6, 5, 4, 1, 3, 2, 1, 0]","          p                                instantiations
1  0.000444  12=True,10=False,16=False,21=False,23=True, "
35,12,2,3,1,14,0.47300100326538086,"[1, 1, 2, 2, 2, 2, 3, 2, 3, 3, 3, 4, 4, 4, 5, 5, 6, 6, 8, 8, 7, 7, 7, 6, 5, 4, 3, 2, 1, 0]","         p                                     instantiations
0  0.00001  10=False,1=True,5=True,0=True,31=True,23=False..."
45,13,2,3,1,18,0.7465958595275879,"[1, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 6, 6, 6, 7, 8, 8, 9, 9, 10, 11, 11, 10, 9, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
3  3.143593e-09  7=True,12=True,15=True,17=False,36=False,39=Fa..."
