n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,4,2,3,1,2,0.1004343032836914,"[2, 1, 1, 0]","         p instantiations
0  0.10368       3=False,"
15,8,2,3,1,6,0.46999692916870117,"[1, 1, 1, 2, 3, 3, 4, 4, 3, 2, 1, 0]","          p              instantiations
0  0.007161  6=False,1=False,13=False, "
25,10,2,3,1,10,0.8460004329681396,"[1, 3, 3, 4, 4, 4, 5, 6, 7, 7, 7, 8, 7, 6, 5, 5, 4, 3, 2, 1, 0]","          p                               instantiations
3  0.000014  19=False,14=True,22=True,16=False,21=True, "
35,13,2,3,1,14,1.050661563873291,"[1, 1, 1, 2, 2, 3, 3, 4, 4, 5, 6, 6, 5, 7, 7, 8, 8, 7, 7, 7, 6, 5, 4, 3, 2, 1, 0]","          p                                     instantiations
3  0.000001  7=True,19=True,21=False,6=True,14=False,15=Tru..."
45,15,2,3,1,18,1.5692248344421387,"[1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 6, 6, 7, 7, 7, 7, 10, 10, 11, 12, 11, 10, 9, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
6  1.532310e-08  5=True,12=True,2=False,21=False,36=False,42=Fa..."
