n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,degrees_occurred,result
5,4,2,3,1,2,0.08698177337646484,"[1, 2, 1, 0]","         p instantiations
1  0.02112       0=True, "
15,8,2,3,1,6,0.3089942932128906,"[1, 1, 2, 2, 2, 4, 3, 3, 3, 2, 1, 0]","          p             instantiations
1  0.008272  0=True,1=True,12=False,  "
25,10,2,3,1,10,0.5229878425598145,"[1, 1, 3, 3, 2, 3, 3, 3, 5, 5, 5, 5, 4, 3, 2, 1, 0]","         p                                instantiations
1  0.00013  10=True,11=False,14=True,16=False,21=True,  "
35,13,2,3,1,14,0.9479954242706299,"[1, 1, 1, 1, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 5, 5, 6, 6, 6, 6, 5, 5, 6, 1, 5, 4, 3, 2, 1, 0]","          p                                     instantiations
0  0.000002  1=False,9=False,18=False,22=True,31=False,29=F..."
45,15,2,3,1,18,1.6699998378753662,"[1, 1, 1, 1, 2, 2, 3, 3, 3, 4, 4, 4, 5, 6, 6, 7, 7, 8, 8, 9, 10, 10, 11, 10, 11, 10, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","              p                                     instantiations
5  5.111682e-08  4=True,5=False,24=True,31=False,37=True,28=Tru..."
