n_nodes,degree,n_roots,max_edges,min_edges,n_evidence,time,result
5,4,2,4,2,2,0.0983574390411377,"      3      2     4      0     1         p
0  True  False  True  False  True  0.114698"
15,10,2,4,2,6,0.9258778095245361,"     13     2     5      6     4     12     0     8    11      9     1    14     10      3     7         p
0  True  True  True  False  True  False  True  True  True  False  True  True  False  False  True  0.000894"
